timestamp,service,usage_hours,cost,instance_type,waste_pct,potential_savings
2026-01-07,S3,23.485543740660862,1.1846,t3.medium,0.7,0.8292200000000001
2026-01-20,RDS,1.1068231109547417,2.2961,t3.small,0.3,0.6888299999999999
2026-01-29,S3,21.09437907998062,3.4353,t3.medium,0.7,2.4047099999999997
2026-01-15,EC2,8.068479162718239,3.7124,t3.medium,0.5266931016523527,1.9552954705741943
2026-01-11,EC2,22.58754373807782,3.8966,t3.small,0.7,2.72762
2026-01-08,RDS,8.289741638618466,1.8799,t3.medium,0.48035048784063966,0.9030108820916185
2026-01-29,EC2,16.049045395283287,3.8255,t3.small,0.7,2.67785
2026-01-21,EC2,2.8407491046165427,0.0425,t3.large,0.3,0.012750000000000001
2026-01-07,EC2,6.573585663435997,2.3905,t3.small,0.3457902239466796,0.8266115303445375
2026-01-26,RDS,18.794624969022767,3.9716,t3.large,0.7,2.7801199999999997
2026-01-19,S3,13.159774634612853,3.1539,t3.medium,0.5808440176373386,1.8319239472264024
2026-01-23,EC2,22.34328842110203,2.3756,t3.small,0.7,1.66292
2026-01-11,RDS,10.861282391851148,3.2268,t3.medium,0.7,2.2587599999999997
2026-01-11,EC2,21.005684413720232,4.5357,t3.large,0.7,3.17499
2026-01-24,RDS,11.325975061999463,2.8362,t3.large,0.7,1.9853399999999997
2026-01-21,EC2,23.52271041014566,4.0009,t3.medium,0.7,2.8006299999999995
2026-01-04,RDS,23.076190772174165,4.9039,t3.small,0.7,3.43273
2026-01-08,EC2,8.570144227789847,3.5308,t3.small,0.40422174574116543,1.427226139862907
2026-01-24,S3,21.376244419586474,2.8709,t3.small,0.7,2.0096299999999996
2026-01-03,EC2,20.495061606959933,0.1971,t3.small,0.7,0.13796999999999998
2026-01-22,RDS,5.845649138533945,1.8786,t3.large,0.3,0.56358
2026-01-21,EC2,15.358679218015203,2.8316,t3.small,0.7,1.9821199999999999
2026-01-02,S3,2.6716932585657416,3.9881,t3.medium,0.3,1.19643
2026-01-24,EC2,20.244346573419616,2.1961,t3.large,0.7,1.53727
2026-01-12,RDS,5.0145553205804205,4.8007,t3.medium,0.3754392072068565,1.8023710020379557
2026-01-30,RDS,2.6287381318725838,1.3663,t3.medium,0.3,0.40989000000000003
2026-01-06,S3,10.205039197392658,3.7254,t3.medium,0.6767015098615453,2.5209838048382007
2026-01-02,RDS,14.2692091877918,2.101,t3.large,0.7,1.4707
2026-01-28,EC2,20.663090046874732,2.4351,t3.small,0.7,1.7045699999999997
2026-01-21,EC2,23.40757808699994,4.0145,t3.medium,0.7,2.8101499999999997
2026-01-01,EC2,11.108327789106864,1.4881,t3.medium,0.6261803309380046,0.9318189504688447
2026-01-12,RDS,2.390279228661215,0.4931,t3.small,0.3,0.14792999999999998
2026-01-26,EC2,18.229658317595025,2.6061,t3.small,0.7,1.8242699999999998
2026-01-22,EC2,13.998984893150562,2.6487,t3.small,0.7,1.8540899999999998
2026-01-29,EC2,11.301500931422652,3.9879,t3.small,0.5054281415508688,2.0155968856907096
2026-01-12,S3,8.113184212220363,4.8419,t3.medium,0.45220765319579376,2.1895442360087136
2026-01-25,RDS,12.55516614040132,0.286,t3.large,0.7,0.20019999999999996
